no_cine_area_geral_agricultura,_silvicultura,_pesca_e_veterinaria;no_cine_area_geral_ciencias_naturais,_matematica_e_estatistica;no_cine_area_geral_ciencias_sociais,_comunicacao_e_informacao;no_cine_area_geral_computacao_e_tecnologias_da_informacao_e_comunicacao_(tic);no_cine_area_geral_educacao;no_cine_area_geral_engenharia,_producao_e_construcao;no_cine_area_geral_negocios,_administracao_e_direito;no_cine_area_geral_servicos;tp_grau_academico_bacharelado;tp_grau_academico_licenciatura;tp_grau_academico_tecnologico;enade_faixa_2;enade_faixa_3;enade_faixa_4;enade_faixa_5;enade_faixa_SC;cpc_faixa_3;cpc_faixa_4;cpc_faixa_5;cpc_faixa_SC;qt_vg_total;qt_vg_remanesc;qt_inscrito_total;qt_insc_vg_remanesc;qt_ing_fem;qt_ing_masc;qt_ing_outra_forma;qt_ing_preta;qt_ing_amarela;qt_ing_cornd;qt_conc;qt_ing_deficiente;qt_ing_reserva_vaga;qt_sit_trancada;qt_sit_desvinculado;qt_ing_procescprivada;qt_conc_procescpublica;qt_apoio_social;qt_conc_apoio_social;qt_ativ_extracurricular;co_curso;no_curso
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.6186842900363259;-1.515847656477081;-1.5267917627302308;-0.8398518566654409;-0.6882529129848504;-1.0571142401663987;-0.6976331523151158;-0.40462717451747504;-0.9442232237987953;-0.8986808964342179;-1.1036457937416622;-0.886914174233739;0.0555323267242869;-0.7358356915997203;-1.3262213004624384;-0.9654637822945135;-0.7467789480468974;-1.0047731082080893;-0.6908909572391251;-0.10693755792201375;1467721.0;recife_bacharelado_agroecologia
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.746715815801911;1.273312031440748;0.9298407613693191;0.18209352962184103;0.305811199303948;0.9435033058747958;1.8094859888173318;1.6845702775829576;2.1582245115401033;0.9488865331065206;1.004355860740682;0.10816026515045601;0.7367288678755394;0.5660274550767079;1.212680356784322;1.1540927986712195;1.434289725613882;1.131425180671294;1.410331127587305;2.4505193621333095;14502.0;recife_bacharelado_agronomia
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.6186842900363259;-1.515847656477081;-0.21884006522339775;-0.8398518566654409;-0.6882529129848504;-0.44468029750072685;-0.6976331523151158;-0.40462717451747504;-0.9442232237987953;0.025102818336151345;-1.1036457937416622;-0.886914174233739;0.22583146201210003;-0.9218161411249243;-1.9428117029366514;-0.4686927086306698;-0.7467789480468974;-1.1342396711704763;-0.6908909572391251;-1.0858684364120896;1557116.0;recife_tecnologico_aquicultura
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;-0.35665925034698714;-0.12126781251816654;1.6586256555520933;1.7880077080732841;-0.8975295682035447;1.106819023918975;1.8094859888173318;-0.40462717451747504;0.29675587033676415;0.025102818336151345;-0.04964496650049008;2.098309143918846;-0.9662624850025918;2.4258319503287487;-0.27439061388878044;0.7566759397401445;-0.7467789480468974;-0.48690685635854186;-0.2706465402738391;-0.30272373362002897;1102628.0;recife_bacharelado_ciencia_da_computacao
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;-1.6186842900363259;-1.515847656477081;-1.7295001438936515;-0.8398518566654409;-1.6823170252736488;-1.75120604185416;-0.6976331523151158;-1.7341164622177505;-0.9442232237987953;-0.8986808964342179;-0.9865345907148653;-0.886914174233739;-1.136561620290405;-1.1077965906501284;-1.8340016319117902;-1.8265336433118424;-0.7467789480468974;-1.1342396711704763;-0.6908909572391251;-1.0858684364120896;103084.0;recife_licenciatura_ciencias_agricolas
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;-0.35665925034698714;-0.12126781251816654;0.8719240810369132;0.18209352962184103;0.6197261821319896;-0.4855092270117716;0.3052145041378632;-0.5945542156175144;0.29675587033676415;-0.8986808964342179;1.3556894698210726;1.103234704534651;-0.6256642144269655;0.1940665560262999;-0.5282807796134564;0.4917313671194279;-0.7467789480468974;0.48409236585935966;1.830575544552591;0.9698864084170699;14506.0;recife_bacharelado_ciencias_biologicas
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.746715815801911;-0.12126781251816654;1.7310215059676006;2.353727475482315;2.7190326297945178;0.9843322353858406;1.8094859888173318;2.824132524183194;0.29675587033676415;0.4869946757213359;2.702468304629237;0.10816026515045601;0.22583146201210003;0.752007904601912;2.0468909013082577;2.8431144491282883;0.3437553887834924;0.8724920547465203;1.410331127587305;2.4382827261521838;14512.0;recife_licenciatura_ciencias_biologicas
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.4846907761125721;1.273312031440748;0.2613857425328011;0.03610133158080074;0.46276869071796883;-0.607996015544906;-0.6976331523151158;-0.5945542156175144;-0.9442232237987953;0.9488865331065206;-0.6352009816344746;-0.886914174233739;0.22583146201210003;-0.5498552420745162;-0.16558054286391927;0.09431450818835298;-0.2015117796317025;-0.6811067008021221;-0.6908909572391251;-0.10693755792201375;1377529.0;recife_bacharelado_ciencias_do_consumo
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-0.35665925034698714;-0.12126781251816654;-0.030610854143078597;0.3280857276628813;-0.4266570939614823;0.6985297288085272;0.3052145041378632;-0.2147001334174357;1.5377349644723235;-0.8986808964342179;0.41879984560669753;2.098309143918846;-0.4553650791391524;1.309949253177524;0.5598199306351551;0.7566759397401445;-0.7467789480468974;-0.9400398267268959;-0.6908909572391251;-0.8900822607140745;14515.0;recife_bacharelado_ciencias_economicas
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4846907761125721;1.273312031440748;-0.09335392450318498;0.47407792570392154;0.829002837350684;-0.3630224384786373;-0.6976331523151158;0.9248621131828003;-0.9442232237987953;0.4869946757213359;0.1845774395531037;1.103234704534651;-0.6256642144269655;2.0538710512783402;1.2852204041342294;0.6573217250073757;-0.7467789480468974;-0.4221735748773484;0.14959787669144692;0.28463479347401666;14513.0;recife_bacharelado_ciencias_sociais
