tp_grau_academico,co_curso,enade_faixa
bacharelado,82295,3
bacharelado,82368,3
bacharelado,82462,3
bacharelado,82494,4
tecnologico,82524,3
bacharelado,82834,5
bacharelado,83101,4
bacharelado,83102,3
bacharelado,83124,3
bacharelado,83126,3
tecnologico,83128,3
bacharelado,84423,4
bacharelado,84530,2
bacharelado,84854,4
bacharelado,85430,4
bacharelado,85588,4
bacharelado,85660,2
bacharelado,89240,4
bacharelado,89257,3
bacharelado,90042,5
bacharelado,90047,5
bacharelado,90202,5
bacharelado,90475,5
tecnologico,90773,3
bacharelado,91260,4
bacharelado,91386,4
bacharelado,91495,4
bacharelado,91535,3
bacharelado,91539,4
bacharelado,91692,5
bacharelado,91799,3
bacharelado,91814,2
bacharelado,91999,3
bacharelado,92279,4
bacharelado,92415,3
bacharelado,92594,4
bacharelado,92687,2
bacharelado,92693,2
bacharelado,92761,2
bacharelado,94095,4
bacharelado,94270,3
tecnologico,94840,5
bacharelado,94907,4
bacharelado,94923,3
bacharelado,95033,4
bacharelado,95044,3
bacharelado,95375,3
bacharelado,95708,3
bacharelado,96181,3
bacharelado,96347,4
bacharelado,96405,5
bacharelado,96502,3
bacharelado,96775,2
bacharelado,96781,4
tecnologico,97509,5
bacharelado,98646,3
bacharelado,98659,3
bacharelado,98669,3
bacharelado,98976,4
bacharelado,98982,3
bacharelado,99028,4
bacharelado,99306,3
bacharelado,99310,5
bacharelado,99340,4
bacharelado,99418,4
bacharelado,99420,4
tecnologico,99634,3
tecnologico,99638,2
bacharelado,99665,4
tecnologico,99686,3
bacharelado,99870,4
bacharelado,99921,3
bacharelado,100103,0
tecnologico,100113,3
bacharelado,100260,3
bacharelado,100433,5
tecnologico,100633,4
bacharelado,100822,2
bacharelado,100866,3
bacharelado,100868,3
bacharelado,100899,4
bacharelado,100918,3
bacharelado,101082,4
bacharelado,101086,3
bacharelado,101121,3
bacharelado,101338,2
bacharelado,101608,2
bacharelado,101836,3
bacharelado,101936,4
bacharelado,102084,4
bacharelado,102158,3
bacharelado,102162,3
bacharelado,102164,2
bacharelado,102296,4
bacharelado,102530,5
bacharelado,103014,4
bacharelado,103016,3
bacharelado,103307,3
bacharelado,103398,3
bacharelado,103408,3
bacharelado,103410,3
bacharelado,103437,4
bacharelado,103438,4
bacharelado,103439,4
tecnologico,103566,3
bacharelado,104300,3
tecnologico,104578,4
bacharelado,105128,3
bacharelado,105130,4
bacharelado,105272,2
bacharelado,105274,3
bacharelado,105276,3
bacharelado,105344,2
bacharelado,105346,3
bacharelado,105440,4
tecnologico,105480,4
bacharelado,105578,3
tecnologico,106104,4
bacharelado,107472,5
bacharelado,107474,4
tecnologico,107572,4
bacharelado,107856,5
bacharelado,107894,4
bacharelado,108344,3
bacharelado,108348,2
tecnologico,108584,3
bacharelado,108648,4
bacharelado,109478,5
tecnologico,110358,3
bacharelado,110744,3
bacharelado,111120,3
bacharelado,111300,4
bacharelado,111302,2
bacharelado,111658,5
bacharelado,112098,3
bacharelado,112104,2
bacharelado,112106,3
bacharelado,112326,2
bacharelado,112594,4
bacharelado,112598,4
bacharelado,112676,4
bacharelado,112688,5
bacharelado,113045,3
bacharelado,113047,2
bacharelado,113291,5
bacharelado,113425,3
bacharelado,113555,3
bacharelado,113585,3
tecnologico,114203,4
bacharelado,114433,2
bacharelado,114564,4
bacharelado,114756,3
bacharelado,114758,3
bacharelado,114987,4
bacharelado,115011,4
bacharelado,115084,5
bacharelado,115472,4
bacharelado,115794,4
bacharelado,115802,5
bacharelado,115870,4
tecnologico,116140,4
bacharelado,116216,3
bacharelado,116324,4
bacharelado,116532,5
bacharelado,116566,4
bacharelado,116568,4
bacharelado,116580,5
bacharelado,116582,4
bacharelado,116624,4
bacharelado,116640,3
bacharelado,116680,2
bacharelado,116708,4
bacharelado,116840,4
bacharelado,116928,3
bacharelado,117004,4
bacharelado,117072,5
bacharelado,117078,4
bacharelado,117110,3
bacharelado,117348,4
bacharelado,118174,4
bacharelado,118180,5
tecnologico,118200,4
bacharelado,118418,5
bacharelado,118472,3
bacharelado,118546,3
bacharelado,119124,3
bacharelado,120064,2
