tp_grau_academico,co_curso,enade_faixa,cpc_faixa
licenciatura,55813,3,3
licenciatura,80829,3,3
bacharelado,354400,3,4
licenciatura,12105,3,3
bacharelado,1308826,3,4
bacharelado,1396686,2,4
licenciatura,1152544,3,4
licenciatura,1152571,4,4
licenciatura,1292765,3,4
licenciatura,1168525,2,3
licenciatura,1266098,2,3
licenciatura,49818,4,4
licenciatura,49823,3,3
licenciatura,95215,3,3
bacharelado,395215,3,3
licenciatura,1203646,3,4
licenciatura,99026,3,3
bacharelado,399026,3,3
licenciatura,1284898,2,4
bacharelado,1438415,3,4
licenciatura,1174338,3,4
licenciatura,102086,3,3
bacharelado,1113004,4,4
licenciatura,99728,3,4
licenciatura,14135,3,3
bacharelado,314135,3,3
licenciatura,32,2,3
bacharelado,1188880,4,4
licenciatura,1103701,4,3
bacharelado,1103742,3,3
bacharelado,29692,4,4
bacharelado,33204,4,4
bacharelado,34983,4,4
licenciatura,44418,4,3
bacharelado,318,3,4
licenciatura,20763,5,4
bacharelado,407,2,3
bacharelado,498,3,3
licenciatura,1105815,4,3
bacharelado,630,4,4
bacharelado,117492,4,4
licenciatura,417492,5,4
licenciatura,774,4,4
bacharelado,300774,3,4
licenciatura,18380,5,4
bacharelado,318380,2,3
licenciatura,150311,3,3
licenciatura,2217,4,4
bacharelado,302217,2,3
licenciatura,1378875,4,4
bacharelado,1166897,3,3
licenciatura,1166899,2,3
bacharelado,26129,5,5
bacharelado,36013,4,4
licenciatura,47358,5,5
licenciatura,47364,4,3
licenciatura,3130,4,3
licenciatura,3167,3,3
bacharelado,303130,4,4
bacharelado,303167,3,4
licenciatura,21624,4,4
bacharelado,321624,5,5
licenciatura,3567,3,4
bacharelado,303567,3,3
licenciatura,3670,4,4
bacharelado,87582,2,3
licenciatura,87583,2,3
bacharelado,307827,2,3
licenciatura,1257430,3,3
licenciatura,11322,4,4
bacharelado,311322,3,4
licenciatura,11450,3,4
bacharelado,311450,2,3
bacharelado,11544,2,3
licenciatura,1343342,2,3
bacharelado,105580,2,3
licenciatura,114002,3,3
licenciatura,1457112,2,3
licenciatura,12315,4,4
bacharelado,1113220,3,3
licenciatura,12558,5,4
bacharelado,312558,4,4
licenciatura,12686,5,4
licenciatura,123729,4,4
bacharelado,312686,4,4
bacharelado,1079286,2,3
licenciatura,12838,5,4
bacharelado,312838,4,4
bacharelado,1112946,3,3
licenciatura,117114,3,3
bacharelado,417114,1,3
licenciatura,12949,5,4
bacharelado,312949,5,4
licenciatura,13087,5,5
bacharelado,313087,4,4
bacharelado,13223,3,4
licenciatura,107487,3,3
